	Genome	Original_name	Study_set	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	CMseq	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	MGnify_accession	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
169355	GUT_GENOME169356	SRR1491107_bin.3	EBI	MAG	5280147	270	30307	47.27	96.64	1.27	0.01	0.0	0.0	0.0	19	ERZ988069	GUT_GENOME000594	MGYG-HGUT-00123	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp001304935	SRS576008	SRP040146	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-001/MGYG-HGUT-00123/genomes1/GUT_GENOME169356.gff.gz
60254	GUT_GENOME060255	ERR525856_bin.8	EBI	MAG	2872892	176	26569	41.82	79.73	0.32	0.33	0.0	0.0	0.0	14	ERZ901678	GUT_GENOME096067	MGYG-HGUT-01338	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	ERS473191	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes2/GUT_GENOME060255.gff.gz
207859	GUT_GENOME207860	SRR5963287_bin.1	EBI	MAG	2653120	33	124177	37.69	99.63	0.0	0.0	94.96	26.55	11.76	20	ERZ989336	GUT_GENOME103721	MGYG-HGUT-01694	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	SRS2455882	SRP114966	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-016/MGYG-HGUT-01694/genomes1/GUT_GENOME207860.gff.gz
67375	GUT_GENOME067376	ERS235557_29	HGM	MAG	1405205	62	66407	27.99	79.47	1.05	0.03	94.96	24.07	0.0	19		GUT_GENOME257836	MGYG-HGUT-04155	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp003534295	ERS235557	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-041/MGYG-HGUT-04155/genomes1/GUT_GENOME067376.gff.gz
162415	GUT_GENOME162416	SchirmerM_2016__G89029__bin.15	CIBIO	MAG	1933732	321	7807	42.69	83.17	2.37	0.28	0.0	0.0	8.68	10		GUT_GENOME143712	MGYG-HGUT-02492	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectalis	SRS1876556	SRP095580	Netherlands	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02492/genomes9/GUT_GENOME162416.gff.gz
155536	GUT_GENOME155537	QinN_2014__LD-25__bin.41	CIBIO	MAG	1951232	23	107111	56.48	85.18	0.0	0.08	0.0	0.0	0.0	20		GUT_GENOME142390	MGYG-HGUT-02371	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops	ERS475271	ERP005860	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02371/genomes1/GUT_GENOME155537.gff.gz
109710	GUT_GENOME109711	LeChatelierE_2013__MH0140__bin.10	CIBIO	MAG	2401213	584	4639	57.77	72.67	1.51	0.24	94.12	0.0	0.0	14		GUT_GENOME247421	MGYG-HGUT-03891	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	ERS328853	ERP003612	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-038/MGYG-HGUT-03891/genomes2/GUT_GENOME109711.gff.gz
275904	GUT_GENOME275905	ZeeviD_2015__PNP_Main_564__bin.8	CIBIO	MAG	1795994	535	3590	45.44	66.46	1.73	0.1	0.0	0.0	0.0	14		GUT_GENOME020741	MGYG-HGUT-00653	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA11471;g__UBA11471;s__UBA11471 sp000434215	ERS972202	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-006/MGYG-HGUT-00653/genomes1/GUT_GENOME275905.gff.gz
257267	GUT_GENOME257268	XieH_2016__YSZC12003_37179__bin.18	CIBIO	MAG	2647438	61	75777	29.18	96.23	0.0	0.0	0.0	0.0	0.0	18		GUT_GENOME000196	MGYG-HGUT-00045	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	ERS746792	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00045/genomes1/GUT_GENOME257268.gff.gz
171724	GUT_GENOME171725	SRR1909358_bin.1	EBI	MAG	2098369	255	11682	60.03	93.22	1.36	0.03	94.12	0.0	0.0	17	ERZ948871	GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	SRS871240	SRP056054	Estonia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes6/GUT_GENOME171725.gff.gz
242072	GUT_GENOME242073	VatanenT_2016__G80416__bin.2	CIBIO	MAG	5073828	520	13182	41.69	79.47	1.72	0.01	0.0	0.0	0.0	19		GUT_GENOME143505	MGYG-HGUT-02478	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	SRS1735718	SRP090628	Estonia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02478/genomes8/GUT_GENOME242073.gff.gz
234359	GUT_GENOME234360	SRS475978_46	HGM	MAG	2209401	494	5789	59.07	92.64	3.32	0.47	94.12	99.67	92.92	20		GUT_GENOME147678	MGYG-HGUT-02545	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_G	SRS475978	SRP029441	Fiji	Oceania	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02545/genomes2/GUT_GENOME234360.gff.gz
85371	GUT_GENOME085372	ERS537352_38	HGM	MAG	2052242	328	6969	36.16	79.65	2.01	0.46	0.0	0.0	0.0	11		GUT_GENOME000308	MGYG-HGUT-00078	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae	ERS537352	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00078/genomes4/GUT_GENOME085372.gff.gz
42711	GUT_GENOME042712	ERR1297740_bin.13	EBI	MAG	1899798	93	36955	43.83	98.95	0.0	0.01	94.96	70.71	99.83	15	ERZ874656	GUT_GENOME096055	MGYG-HGUT-01334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B ruminis	ERS1069678	ERP013827	Netherlands	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01334/genomes1/GUT_GENOME042712.gff.gz
66006	GUT_GENOME066007	ERR912185_bin.29	EBI	MAG	6040648	713	11060	42.89	66.54	0.0	1.11	0.0	0.0	0.0	13	ERZ876982	GUT_GENOME096063	MGYG-HGUT-01337	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	ERS746942	ERP010700	United Kingdom	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01337/genomes2/GUT_GENOME066007.gff.gz
241637	GUT_GENOME241638	VatanenT_2016__G80327__bin.11	CIBIO	MAG	3020399	104	44861	58.16	96.26	1.02	0.01	0.0	0.0	0.0	20		GUT_GENOME143202	MGYG-HGUT-02453	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_B	SRS1735701	SRP090628	Russia	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02453/genomes1/GUT_GENOME241638.gff.gz
147938	GUT_GENOME147939	QinJ_2012__CON-005__bin.21	CIBIO	MAG	2606772	213	19562	45.67	91.11	0.12	0.13	0.0	0.0	0.0	14		GUT_GENOME034674	MGYG-HGUT-00820	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales;f__UBA9506;g__UBA9506;s__UBA9506 sp003506415			China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-008/MGYG-HGUT-00820/genomes1/GUT_GENOME147939.gff.gz
186600	GUT_GENOME186601	SRR4783415_bin.48	EBI	MAG	1750781	125	25432	57.5	83.84	0.22	0.25	94.12	0.0	7.38	18	ERZ978305	GUT_GENOME256593	MGYG-HGUT-04111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	SRS1771175	SRP091570	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-041/MGYG-HGUT-04111/genomes1/GUT_GENOME186601.gff.gz
284756	GUT_GENOME284757	ZellerG_2014__CCIS78100604ST-4-0__bin.22	CIBIO	MAG	2369014	96	44930	41.74	97.74	0.88	0.33	0.0	0.0	0.0	13		GUT_GENOME096193	MGYG-HGUT-01374	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena torques	ERS436797	ERP005534	France	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01374/genomes1/GUT_GENOME284757.gff.gz
85827	GUT_GENOME085828	ERS537368_22	HGM	MAG	2198182	453	6221	56.54	87.76	0.0	1.38	0.0	0.0	0.0	17		GUT_GENOME251083	MGYG-HGUT-03937	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	ERS537368	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-039/MGYG-HGUT-03937/genomes6/GUT_GENOME085828.gff.gz
46807	GUT_GENOME046808	ERR1620340_bin.12	EBI	MAG	4150945	123	50107	51.23	94.76	0.31	0.2	0.0	0.0	0.0	19	ERZ851081	GUT_GENOME144544	MGYG-HGUT-02506	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	ERS1343402	ERP017091	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02506/genomes2/GUT_GENOME046808.gff.gz
83810	GUT_GENOME083811	ERS537298_90	HGM	MAG	1676304	147	19261	62.41	84.84	0.34	0.54	0.0	0.0	0.0	19		GUT_GENOME096701	MGYG-HGUT-01565	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-103;s__CAG-103 sp900317855	ERS537298	ERP006678	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-015/MGYG-HGUT-01565/genomes1/GUT_GENOME083811.gff.gz
281604	GUT_GENOME281605	ZeeviD_2015__PNP_Validation_75__bin.21	CIBIO	MAG	2824566	129	35658	58.51	98.6	1.17	0.02	94.12	0.0	0.0	18		GUT_GENOME247421	MGYG-HGUT-03891	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__UBA11524;s__UBA11524 sp000437595	ERS953894	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-038/MGYG-HGUT-03891/genomes4/GUT_GENOME281605.gff.gz
159482	GUT_GENOME159483	RaymondF_2016__P6C90__bin.62	CIBIO	MAG	2372802	289	11271	56.45	95.64	0.68	0.05	0.0	0.0	0.0	15		GUT_GENOME251083	MGYG-HGUT-03937	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	ERS634960	ERP009131	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-039/MGYG-HGUT-03937/genomes6/GUT_GENOME159483.gff.gz
127723	GUT_GENOME127724	LiuW_2016__SRR3992985__bin.77	CIBIO	MAG	2717528	319	11196	43.67	90.01	0.63	0.62	0.0	0.0	0.0	9		GUT_GENOME094660	MGYG-HGUT-01246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__	SRS1596798	SRP080787	Mongolia	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-012/MGYG-HGUT-01246/genomes1/GUT_GENOME127724.gff.gz
266446	GUT_GENOME266447	ZeeviD_2015__PNP_Main_147__bin.71	CIBIO	MAG	2249515	500	5228	56.64	77.27	1.85	0.72	0.0	0.0	0.0	16		GUT_GENOME026702	MGYG-HGUT-00743	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp000434635	ERS971785	ERP012929	Israel	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-007/MGYG-HGUT-00743/genomes1/GUT_GENOME266447.gff.gz
176152	GUT_GENOME176153	SRR2992926_bin.10	EBI	MAG	1251435	20	96396	28.63	74.1	0.56	0.11	0.0	0.0	11.01	16	ERZ862892	GUT_GENOME170057	MGYG-HGUT-02796	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__CAG-273 sp000435755	SRS1205262	SRP067325	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-027/MGYG-HGUT-02796/genomes1/GUT_GENOME176153.gff.gz
58784	GUT_GENOME058785	ERR525730_bin.23	EBI	MAG	1776142	463	3980	39.28	59.37	0.5	2.0	0.0	0.0	0.0	4	ERZ900146	GUT_GENOME001689	MGYG-HGUT-00262	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii	ERS473065	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-002/MGYG-HGUT-00262/genomes1/GUT_GENOME058785.gff.gz
230057	GUT_GENOME230058	SRS294967_29	HGM	MAG	1634339	384	5343	46.55	87.43	2.32	0.49	0.0	0.0	0.0	16		GUT_GENOME268399	MGYG-HGUT-04337	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium sp000436095	SRS294967	SRP008047	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-043/MGYG-HGUT-04337/genomes1/GUT_GENOME230058.gff.gz
180676	GUT_GENOME180677	SRR3992959_bin.69	EBI	MAG	2149280	292	9310	59.55	87.5	1.88	0.13	0.0	0.0	0.0	11	ERZ848521	GUT_GENOME254918	MGYG-HGUT-04052	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__;s__	SRS1596772	SRP080787	Mongolia	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-040/MGYG-HGUT-04052/genomes1/GUT_GENOME180677.gff.gz
231500	GUT_GENOME231501	SRS355400_4	HGM	MAG	2218653	607	4104	44.22	79.89	0.12	0.18	0.0	0.0	0.0	9		GUT_GENOME096210	MGYG-HGUT-01380	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena gnavus	SRS355400	SRP001634	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01380/genomes1/GUT_GENOME231501.gff.gz
64410	GUT_GENOME064411	ERR688511_bin.1	EBI	MAG	1776409	217	11564	41.75	53.86	0.0	0.2	0.0	0.0	0.0	6	ERZ865441	GUT_GENOME096067	MGYG-HGUT-01338	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	ERS608511	ERP008729	Austria	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-013/MGYG-HGUT-01338/genomes3/GUT_GENOME064411.gff.gz
131985	GUT_GENOME131986	LouisS_2016__AS65_12__bin.1	CIBIO	MAG	2619203	22	238986	55.7	97.96	0.0	0.0	0.0	0.0	0.0	20		GUT_GENOME143211	MGYG-HGUT-02454	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila			Germany	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-024/MGYG-HGUT-02454/genomes2/GUT_GENOME131986.gff.gz
125563	GUT_GENOME125564	LiJ_2017__nHM612724__bin.31	CIBIO	MAG	2064813	119	25080	60.47	96.77	0.81	0.01	0.0	0.0	0.0	20		GUT_GENOME239721	MGYG-HGUT-03692	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp002232035	ERS1138774	ERP015450	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-036/MGYG-HGUT-03692/genomes1/GUT_GENOME125564.gff.gz
194917	GUT_GENOME194918	SRR5091584_bin.5	EBI	MAG	3394973	141	36651	42.8	97.5	1.38	0.02	0.0	22.5	55.11	14	ERZ866960	GUT_GENOME000295	MGYG-HGUT-00076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	SRS1846875	SRP094805	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-000/MGYG-HGUT-00076/genomes2/GUT_GENOME194918.gff.gz
146191	GUT_GENOME146192	PATRIC_624_1113	PATRIC/IMG	Isolate	4616122	382	25379	50.8	99.44	0.26		95.8	99.67	88.89	20	624.1113	GUT_GENOME144544	MGYG-HGUT-02506	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	SAMEA1569671	PRJEB2846	Argentina	South America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02506/genomes2/GUT_GENOME146192.gff.gz
147382	GUT_GENOME147383	PATRIC_670_1027	PATRIC/IMG	Isolate	5097667	49	267833	45.28	100.0	0.0		94.96	99.67	99.86	19	670.1027	GUT_GENOME141089	MGYG-HGUT-02331	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	SAMN05935537	PRJNA350230	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02331/genomes1/GUT_GENOME147383.gff.gz
16692	GUT_GENOME016693	ChengpingW_2017__AS31raw__bin.38	CIBIO	MAG	2660431	78	46981	42.17	97.99	0.67	0.03	0.0	0.0	0.0	16		GUT_GENOME017394	MGYG-HGUT-00562	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000437735	SRS1997056	SRP100575	China	Asia	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-005/MGYG-HGUT-00562/genomes2/GUT_GENOME016693.gff.gz
66499	GUT_GENOME066500	ERS235522_20	HGM	MAG	1326169	606	2448	60.69	63.66	2.01	1.14	90.76	0.0	0.0	17		GUT_GENOME180274	MGYG-HGUT-02926	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	ERS235522	ERP002469	Sweden	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-029/MGYG-HGUT-02926/genomes1/GUT_GENOME066500.gff.gz
164964	GUT_GENOME164965	SRR1196649_bin.19	EBI	MAG	1978717	146	19771	60.88	83.71	4.75	0.46	91.6	18.46	14.84	15	ERZ983870	GUT_GENOME176098	MGYG-HGUT-02882	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000435975	SRS576034	SRP040146	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-028/MGYG-HGUT-02882/genomes1/GUT_GENOME164965.gff.gz
238484	GUT_GENOME238485	SRS820585_6	HGM	MAG	1794864	68	48237	25.93	94.38	1.28	0.03	0.0	0.0	0.0	20		GUT_GENOME108563	MGYG-HGUT-01776	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__	SRS820585	SRP052307	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-017/MGYG-HGUT-01776/genomes1/GUT_GENOME238485.gff.gz
168638	GUT_GENOME168639	SRR1462599_bin.4	EBI	MAG	4517264	469	13579	50.75	95.54	0.98	0.04	94.96	0.0	0.0	18	ERZ987228	GUT_GENOME144544	MGYG-HGUT-02506	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_D	SRS580160	SRP040146	United States	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-025/MGYG-HGUT-02506/genomes4/GUT_GENOME168639.gff.gz
118504	GUT_GENOME118505	LiJ_2014__O2.UC13-1__bin.2	CIBIO	MAG	2175622	60	56864	42.67	81.21	0.0	0.02	0.0	0.0	11.25	15		GUT_GENOME140296	MGYG-HGUT-02292	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__TF01-11 sp003529475	ERS396410	ERP004605	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-022/MGYG-HGUT-02292/genomes1/GUT_GENOME118505.gff.gz
59274	GUT_GENOME059275	ERR525772_bin.12	EBI	MAG	1057827	269	4039	39.29	65.32	0.33	1.32	0.0	0.0	0.0	5	ERZ900661	GUT_GENOME268665	MGYG-HGUT-04345	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	ERS473107	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-043/MGYG-HGUT-04345/genomes1/GUT_GENOME059275.gff.gz
239064	GUT_GENOME239065	SRS820616_49	HGM	MAG	1731467	754	2578	49.03	79.9	1.77	0.37	0.0	0.0	0.0	10		GUT_GENOME014854	MGYG-HGUT-00533	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__	SRS820616	SRP052307	Peru	South America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-005/MGYG-HGUT-00533/genomes1/GUT_GENOME239065.gff.gz
58458	GUT_GENOME058459	ERR525704_bin.2	EBI	MAG	1729511	47	57863	59.65	76.79	1.74	0.01	0.0	0.0	8.17	17	ERZ899777	GUT_GENOME142522	MGYG-HGUT-02395	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	ERS473039	ERP005989	Denmark	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v1.0/all_genomes/MGYG-HGUT-023/MGYG-HGUT-02395/genomes2/GUT_GENOME058459.gff.gz
